x_rel_mm,y_rel_mm,value
0,142,1.16415
-22,140,1.144486
-20,140,1.162848
-18,140,1.144831
-16,140,1.153453
-14,140,1.139016
-12,140,1.143251
-10,140,1.145695
-8,140,1.134273
-6,140,1.155181
-4,140,1.139069
-2,140,1.156425
0,140,1.154964
2,140,1.150078
4,140,1.155849
6,140,1.162061
8,140,1.145294
10,140,1.146074
12,140,1.161998
14,140,1.167149
16,140,1.149189
18,140,1.17114
20,140,1.16698
22,140,1.169369
32,138,1.154596
30,138,1.134181
28,138,1.156507
26,138,1.14848
24,138,1.148006
22,138,1.16273
20,138,1.154016
18,138,1.175349
16,138,1.145292
14,138,1.149029
12,138,1.14843
10,138,1.149666
8,138,1.126327
6,138,1.139843
4,138,1.139573
2,138,1.145127
0,138,1.16439
-2,138,1.155585
-4,138,1.143988
-6,138,1.14147
-8,138,1.144559
-10,138,1.165332
-12,138,1.164681
-14,138,1.133972
-16,138,1.139824
-18,138,1.142389
-20,138,1.144146
-22,138,1.142688
-24,138,1.132004
-26,138,1.126257
-28,138,1.102786
-30,138,1.197654
-32,138,1.147759
-40,136,1.142754
-38,136,1.247935
-36,136,1.166986
-34,136,1.149218
-32,136,1.163149
-30,136,1.162793
-28,136,1.136105
-26,136,1.145914
-24,136,1.142159
-22,136,1.140589
-20,136,1.141437
-18,136,1.142744
-16,136,1.12714
-14,136,1.138854
-12,136,1.169073
-10,136,1.160476
-8,136,1.148309
-6,136,1.144493
-4,136,1.148276
-2,136,1.157004
0,136,1.141178
2,136,1.144219
4,136,1.144215
6,136,1.166088
8,136,1.156746
10,136,1.154678
12,136,1.129946
14,136,1.132457
16,136,1.16002
18,136,1.195366
20,136,1.135898
22,136,1.159788
24,136,1.140454
26,136,1.154816
28,136,1.142033
30,136,1.149576
32,136,1.187278
34,136,1.128393
36,136,1.169513
38,136,1.134473
40,136,1.14874
46,134,1.152696
44,134,1.119132
42,134,1.164603
40,134,1.13223
38,134,1.154926
36,134,1.131655
34,134,1.143447
32,134,1.158419
30,134,1.176233
28,134,1.146031
26,134,1.139041
24,134,1.151794
22,134,1.171015
20,134,1.158257
18,134,1.158692
16,134,1.136865
14,134,1.147041
12,134,1.134246
10,134,1.142088
8,134,1.135831
6,134,1.148307
4,134,1.136666
2,134,1.15408
0,134,1.153886
-2,134,1.161021
-4,134,1.124147
-6,134,1.150339
-8,134,1.154408
-10,134,1.135035
-12,134,1.163897
-14,134,1.148707
-16,134,1.151618
-18,134,1.157263
-20,134,1.156315
-22,134,1.147292
-24,134,1.149116
-26,134,1.163406
-28,134,1.151976
-30,134,1.135588
-32,134,1.196598
-34,134,1.140822
-36,134,1.150133
-38,134,1.187721
-40,134,1.277752
-42,134,1.151372
-44,134,1.176116
-46,134,1.135084
-52,132,1.131952
-50,132,1.132561
-48,132,1.139523
-46,132,1.124163
-44,132,1.142542
-42,132,1.156849
-40,132,1.217649
-38,132,1.210859
-36,132,1.174088
-34,132,1.174453
-32,132,1.125834
-30,132,1.131352
-28,132,1.154739
-26,132,1.168023
-24,132,1.158937
-22,132,1.147853
-20,132,1.14921
-18,132,1.157472
-16,132,1.144768
-14,132,1.136124
-12,132,1.147163
-10,132,1.139833
-8,132,1.15255
-6,132,1.144699
-4,132,1.123992
-2,132,1.153438
0,132,1.142008
2,132,1.151052
4,132,1.128333
6,132,1.162755
8,132,1.149481
10,132,1.15261
12,132,1.139047
14,132,1.163594
16,132,1.147559
18,132,1.166915
20,132,1.16179
22,132,1.159638
24,132,1.156908
26,132,1.144216
28,132,1.145087
30,132,1.152402
32,132,1.171865
34,132,1.149082
36,132,1.155673
38,132,1.172263
40,132,1.139954
42,132,1.163254
44,132,1.117584
46,132,1.151547
48,132,1.159232
50,132,1.163539
52,132,1.160078
56,130,1.149899
54,130,1.135941
52,130,1.165544
50,130,1.154165
48,130,1.169391
46,130,1.156388
44,130,1.143786
42,130,1.150079
40,130,1.159036
38,130,1.175058
36,130,1.177641
34,130,1.125894
32,130,1.16444
30,130,1.15032
28,130,1.143735
26,130,1.160972
24,130,1.155851
22,130,1.152194
20,130,1.149799
18,130,1.153189
16,130,1.15341
14,130,1.156668
12,130,1.148639
10,130,1.146154
8,130,1.145594
6,130,1.148452
4,130,1.143596
2,130,1.151226
0,130,1.152043
-2,130,1.152627
-4,130,1.14334
-6,130,1.141071
-8,130,1.151103
-10,130,1.148109
-12,130,1.15488
-14,130,1.149547
-16,130,1.151216
-18,130,1.148416
-20,130,1.143143
-22,130,1.13322
-24,130,1.146511
-26,130,1.139622
-28,130,1.151228
-30,130,1.136777
-32,130,1.141955
-34,130,1.192738
-36,130,1.14838
-38,130,1.168046
-40,130,1.221338
-42,130,1.15263
-44,130,1.15071
-46,130,1.145868
-48,130,1.163805
-50,130,1.14153
-52,130,1.134281
-54,130,1.12457
-56,130,1.152274
-60,128,1.143385
-58,128,1.136329
-56,128,1.138138
-54,128,1.139607
-52,128,1.126917
-50,128,1.137517
-48,128,1.146606
-46,128,1.139961
-44,128,1.141333
-42,128,1.150433
-40,128,1.226924
-38,128,1.192391
-36,128,1.242031
-34,128,1.151507
-32,128,1.137369
-30,128,1.142518
-28,128,1.155802
-26,128,1.147671
-24,128,1.151776
-22,128,1.150158
-20,128,1.161902
-18,128,1.160228
-16,128,1.143247
-14,128,1.150626
-12,128,1.143266
-10,128,1.169035
-8,128,1.156945
-6,128,1.148895
-4,128,1.136786
-2,128,1.138223
0,128,1.155106
2,128,1.160034
4,128,1.139617
6,128,1.146655
8,128,1.149205
10,128,1.150479
12,128,1.155992
14,128,1.161766
16,128,1.154795
18,128,1.141525
20,128,1.158484
22,128,1.161187
24,128,1.152186
26,128,1.147118
28,128,1.156373
30,128,1.19641
32,128,1.26231
34,128,1.262598
36,128,1.196534
38,128,1.198497
40,128,1.165956
42,128,1.165561
44,128,1.14892
46,128,1.137323
48,128,1.166192
50,128,1.141206
52,128,1.158827
54,128,1.174205
56,128,1.139894
58,128,1.152384
60,128,1.157465
64,126,1.157589
62,126,1.16239
60,126,1.167275
58,126,1.149297
56,126,1.15091
54,126,1.14022
52,126,1.140733
50,126,1.146472
48,126,1.146799
46,126,1.147604
44,126,1.149308
42,126,1.159494
40,126,1.133595
38,126,1.14562
36,126,1.13648
34,126,1.129343
32,126,1.189416
30,126,1.266908
28,126,1.146672
26,126,1.151997
24,126,1.154614
22,126,1.158515
20,126,1.160451
18,126,1.167247
